Crop,Year,State,Area ('000 Hectares),Production ('000 Tonnes),Yield (Kg per Ha))
Finger Millet (Ragi),1966-67,All India                             ,1984.20,1630.60,821.79
Finger Millet (Ragi),1967-68,All India                             ,2291.20,1884.20,822.36
Finger Millet (Ragi),1968-69,All India                             ,2238.20,1648.00,736.31
Finger Millet (Ragi),1969-70,All India                             ,2783.40,2117.20,760.65
Finger Millet (Ragi),1970-71,All India                             ,2472.40,2155.00,871.62
Finger Millet (Ragi),1971-72,All India                             ,2425.00,2208.50,910.72
Finger Millet (Ragi),1972-73,All India                             ,2329.30,1922.90,825.53
Finger Millet (Ragi),1973-74,All India                             ,2359.90,2071.90,877.96
Finger Millet (Ragi),1974-75,All India                             ,2463.60,2135.60,866.86
Finger Millet (Ragi),1975-76,All India                             ,2629.50,2796.70,1063.59
Finger Millet (Ragi),1976-77,All India                             ,2496.30,2044.70,819.09
Finger Millet (Ragi),1977-78,All India                             ,2599.80,2866.00,1102.39
Finger Millet (Ragi),1978-79,All India                             ,2705.10,3200.40,1183.10
Finger Millet (Ragi),1979-80,All India                             ,2614.80,2721.60,1040.84
Finger Millet (Ragi),1980-81,All India                             ,2525.00,2419.90,958.38
Finger Millet (Ragi),1981-82,All India                             ,2610.40,2960.50,1134.12
Finger Millet (Ragi),1982-83,All India                             ,2411.70,2223.10,921.80
Finger Millet (Ragi),1983-84,All India                             ,2558.20,2831.00,1106.64
Finger Millet (Ragi),1984-85,All India                             ,2386.90,2530.10,1059.99
Finger Millet (Ragi),1985-86,All India                             ,2400.60,2518.10,1048.95
Finger Millet (Ragi),1986-87,All India                             ,2404.70,2708.30,1126.25
Finger Millet (Ragi),1987-88,All India                             ,2262.00,2319.00,1025.20
Finger Millet (Ragi),1988-89,All India                             ,2317.30,2409.70,1039.87
Finger Millet (Ragi),1989-90,All India                             ,2343.00,2766.50,1180.75
Finger Millet (Ragi),1990-91,All India                             ,2171.30,2340.00,1077.70
Finger Millet (Ragi),1991-92,All India                             ,2129.90,2581.80,1212.17
Finger Millet (Ragi),1992-93,All India                             ,1905.30,2531.10,1328.45
Finger Millet (Ragi),1993-94,All India                             ,1884.30,2597.20,1378.34
Finger Millet (Ragi),1994-95,All India                             ,1763.60,2342.00,1327.97
Finger Millet (Ragi),1995-96,All India                             ,1773.70,2501.40,1410.27
Finger Millet (Ragi),1996-97,All India                             ,1784.20,2340.10,1311.57
Finger Millet (Ragi),1997-98,All India                             ,1656.60,2086.80,1259.69
Finger Millet (Ragi),1998-99,All India                             ,1758.20,2608.10,1483.39
Finger Millet (Ragi),1999-00,All India                             ,1634.40,2289.50,1400.82
Finger Millet (Ragi),2000-01      ,All India                             ,1759.10,2731.70,1552.90
Finger Millet (Ragi),2001-02         ,All India                             ,1646.70,2374.60,1442.04
Finger Millet (Ragi),2002-03  ,All India                             ,1415.00,1315.70,929.82
Finger Millet (Ragi),2003-04,All India                             ,1666.40,1965.70,1179.61
Finger Millet (Ragi),2004-05,All India                             ,1552.70,2432.40,1566.56
Finger Millet (Ragi),2005-06,All India                             ,1533.90,2353.60,1534.39
Finger Millet (Ragi),2006-07,All India                             ,1177.40,1443.60,1226.09
Finger Millet (Ragi),2007-08,All India                             ,1387.10,2152.20,1551.58
Finger Millet (Ragi),2008-09,All India                             ,1381.40,2039.90,1476.69
Finger Millet (Ragi),2009-10,All India                             ,1268.01,1888.46,1489.31
Finger Millet (Ragi),2010-11,All India                             ,1286.19,2193.45,1705.38
Finger Millet (Ragi),2011-12,All India                             ,1175.78,1929.24,1640.81
Finger Millet (Ragi),2012-13,All India                             ,1131.00,1574.40,1392.04
Finger Millet (Ragi),2013-14,All India                             ,1193.60,1982.90,1661.28
Finger Millet (Ragi),2014-15,All India                             ,1208.10,2060.90,1705.90
Finger Millet (Ragi),2015-16,All India                             ,1138.20,1821.90,1600.69
Finger Millet (Ragi),2016-17,All India                             ,1016.10,1385.10,1363.15
Finger Millet (Ragi),2017-18,All India                             ,1194.29,1985.24,1662.27
Finger Millet (Ragi),2018-19,All India                             ,890.94,1238.70,1390.34
